Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
International Journal of Cardiology. Cardiovascular Risk and Prevention,Anonymous peer review,Yes,2800 USD,Yes,27724875
Mistral,Double anonymous peer review,No,NA,Yes,27724913
Human Factors in Healthcare,Anonymous peer review,Yes,1750 USD,Yes,27725014
Applied Food Research,Anonymous peer review,Yes,1800 USD,Yes,27725022
Telematics and Informatics Reports,Anonymous peer review,Yes,1500 USD,Yes,27725030
Digital Chemical Engineering,Anonymous peer review,Yes,1800 USD,Yes,27725081
Magnetic Resonance Letters,Anonymous peer review,Yes,980 USD,Yes,27725162
Indian Pediatrics Case Reports,Double anonymous peer review,No,NA,Yes,27725170
Indian Pediatrics Case Reports,Double anonymous peer review,No,NA,Yes,27725189
SRM Journal of Research in Dental Sciences,Double anonymous peer review,No,NA,Yes,27725243
SRM Journal of Research in Dental Sciences,Double anonymous peer review,No,NA,Yes,27725251
Neuroscience Informatics,Double anonymous peer review,Yes,1500 USD,Yes,27725286
Brain and Spine,Anonymous peer review,Yes,1780 EUR,Yes,27725294
Veterinary Vaccine,Anonymous peer review,Yes,1500 USD,Yes,27725359
Dentistry Review,Double anonymous peer review,Yes,1950 USD,Yes,27725596
Journal of Future Foods,Double anonymous peer review,Yes,1200 USD; 1050 EUR; 8000 CNY,Yes,27725669
Science Talks,Anonymous peer review,Yes,720 USD,Yes,27725693
ChemPhysMater,Anonymous peer review,Yes,840 USD,Yes,27725715
Gastro Hep Advances,Anonymous peer review,Yes,2000 USD,Yes,27725723
Green Analytical Chemistry,Anonymous peer review,Yes,1250 USD,Yes,27725774
Advances in Sample Preparation,Anonymous peer review,Yes,1250 USD,Yes,27725820
Multimodal Transportation,Double anonymous peer review,Yes,1500 USD,Yes,27725863
Psychiatry Research Communications,Anonymous peer review,Yes,2000 USD,Yes,27725987
Indian Journal of Ayurveda and Integrative Medicine KLEU,Double anonymous peer review,No,NA,Yes,27726010
Indian Journal of Ayurveda and Integrative Medicine KLEU,Double anonymous peer review,No,NA,Yes,27726029
BJA Open,Anonymous peer review,Yes,1500 GBP,Yes,27726096
EJC Paediatric Oncology,Anonymous peer review,Yes,2200 USD,Yes,2772610X
EJC Skin Cancer,Anonymous peer review,Yes,2200 USD,Yes,27726118
The Rijksmuseum Bulletin,Double anonymous peer review,No,NA,Yes,27726126
Clinical Immunology Communications,Anonymous peer review,Yes,1750 USD,Yes,27726134
PEC Innovation,Anonymous peer review,Yes,1500 USD,Yes,27726282
Health Sciences Review,Anonymous peer review,Yes,1900 USD,Yes,27726320
Journal of Association of Pulmonologist of Tamil Nadu,Double anonymous peer review,No,NA,Yes,27726355
Journal of Association of Pulmonologist of Tamil Nadu,Double anonymous peer review,No,NA,Yes,27726363
Research in Diagnostic and Interventional Imaging,Double anonymous peer review,Yes,1400 EUR,Yes,27726525
Dialogues in Health,Anonymous peer review,Yes,1100 USD,Yes,27726533
World Development Sustainability,Double anonymous peer review,Yes,1400 USD,Yes,2772655X
Carbon Capture Science & Technology,Anonymous peer review,Yes,2000 USD,Yes,27726568
Decision Analytics Journal,Anonymous peer review,Yes,1500 USD,Yes,27726622
"e-Prime: Advances in Electrical Engineering, Electronics and Energy",Anonymous peer review,Yes,1400 USD,Yes,27726711
Energy Storage and Saving,Double anonymous peer review,Yes,1000 USD,Yes,27726835
Chinese Journal of Plastic and Reconstructive Surgery,Double anonymous peer review,Yes,980 USD,Yes,2772686X
Annals of Vascular Surgery - Brief Reports and Innovations,Anonymous peer review,Yes,1500 USD,Yes,27726878
JSAMS Plus,Anonymous peer review,Yes,1950 USD,Yes,27726967
IJID Regions,Anonymous peer review,Yes,1200 USD,Yes,27727076
Journal of Advanced Lung Health,Double anonymous peer review,No,NA,Yes,27727165
Journal of Advanced Lung Health,Double anonymous peer review,No,NA,Yes,27727173
Drug and Alcohol Dependence Reports,Anonymous peer review,Yes,2000 USD,Yes,27727246
Water Biology and Security,Anonymous peer review,Yes,1000 USD,Yes,27727351
Human Pathology Reports,Anonymous peer review,Yes,880 USD,Yes,2772736X
Resilient Cities and Structures,Anonymous peer review,Yes,1200 USD,Yes,27727416
Food Chemistry Advances,Anonymous peer review,Yes,1750 USD,Yes,2772753X
Cleaner Chemical Engineering,Anonymous peer review,Yes,1200 USD,Yes,27727823
Cleaner Energy Systems,Anonymous peer review,Yes,1200 USD,Yes,27727831
Cleaner and Circular Bioeconomy,Anonymous peer review,Yes,1200 USD,Yes,27728013
CJC Pediatric and Congenital Heart Disease,Anonymous peer review,Yes,2100 USD,Yes,27728129
Advanced Membranes,Anonymous peer review,Yes,840 USD,Yes,27728234
Al-Markaz: Majallat al-Dirāsāt al-ʿArabiyya,Double anonymous peer review,No,NA,Yes,27728242
Al-Markaz: Majallat al-Dirāsāt al-ʿArabiyya,Double anonymous peer review,No,NA,Yes,27728250
Sustainable Chemistry for Climate Action,Anonymous peer review,Yes,1250 USD,Yes,27728269
Journal of Computational Algebra,Anonymous peer review,Yes,1860 USD,Yes,27728277
Fundamental Plasma Physics,Anonymous peer review,Yes,1000 USD,Yes,27728285
Journal of Allergy and Clinical Immunology: Global,Anonymous peer review,Yes,2000 USD,Yes,27728293
Superconductivity,Anonymous peer review,Yes,1800 USD,Yes,27728307
Advanced Powder Materials,Double anonymous peer review,Yes,840 USD,Yes,2772834X
Annals of Oncology Research and Therapy,Double anonymous peer review,No,NA,Yes,27728382
Annals of Oncology Research and Therapy,Double anonymous peer review,No,NA,Yes,27728390
Telangana Journal of Psychiatry,Double anonymous peer review,No,NA,Yes,27728706
Geosystems and Geoenvironment,Anonymous peer review,Yes,2000 USD,Yes,27728838
Cell Insight,Anonymous peer review,Yes,1950 USD,Yes,27728927
Crop Design,Anonymous peer review,Yes,1600 USD,Yes,27728994
"Journal of Economics, Theology and Religion",Double anonymous peer review,No,NA,Yes,27729001
Oral Oncology Reports,Anonymous peer review,Yes,2100 USD,Yes,27729060
Cleaner Waste Systems,Anonymous peer review,Yes,1200 USD,Yes,27729125
Cyber Security and Applications,Anonymous peer review,Yes,800 USD,Yes,27729184
Journal of the Society for Cardiovascular Angiography & Interventions,Anonymous peer review,Yes,2400 USD,Yes,27729303
Solar Compass,Anonymous peer review,Yes,500 USD,Yes,27729400
Systems and Soft Computing,Anonymous peer review,Yes,1500 USD,Yes,27729419
iLIVER,Anonymous peer review,Yes,1600 USD,Yes,27729478
Materials Today Electronics,Anonymous peer review,Yes,3000 USD,Yes,27729494
JACC: Advances,Anonymous peer review,Yes,2936 USD,Yes,2772963X
Energy Reviews,Anonymous peer review,Yes,2500 USD,Yes,27729702
Continence,Double anonymous peer review,Yes,1800 USD,Yes,27729737
Continence Reports,Double anonymous peer review,Yes,900 USD,Yes,27729745
Journal of Molecular and Cellular Cardiology Plus,Anonymous peer review,Yes,1900 USD,Yes,27729761
Eco-Environment & Health,Anonymous peer review,Yes,2000 USD,Yes,27729850
Journal of Infrastructure Intelligence and Resilience,Anonymous peer review,Yes,1600 USD,Yes,27729915
Annals of Thoracic Surgery Short Reports,Anonymous peer review,Yes,975 USD,Yes,27729931
Journal of Road Engineering,Double anonymous peer review,No,NA,Yes,27730077
Journal of Spinoza Studies,Double anonymous peer review,No,NA,Yes,27730107
Assam Journal of Internal Medicine,Double anonymous peer review,No,NA,Yes,27730166
Sustainable Technology and Entrepreneurship,Double anonymous peer review,Yes,1800 USD,Yes,27730328
​​​One Health Bulletin,Double anonymous peer review,No,NA,Yes,27730344
​​​One Health Bulletin,Double anonymous peer review,No,NA,Yes,27730352
Extracellular Vesicle,Anonymous peer review,Yes,2800 USD,Yes,27730417
Advanced Sensor and Energy Materials,Anonymous peer review,Yes,1600 USD,Yes,2773045X
Hygiene and Environmental Health Advances,Anonymous peer review,Yes,2200 USD,Yes,27730492
Journal of Trace Elements and Minerals,Anonymous peer review,Yes,1800 USD,Yes,27730506
"Memories - Materials, Devices, Circuits and Systems",Anonymous peer review,Yes,1550 USD,Yes,27730646
AJPM Focus,Double anonymous peer review,Yes,1800 USD,Yes,27730654
World Journal of Acupuncture - Moxibustion,Double anonymous peer review,Yes,1000 USD,Yes,27730751
Journal of Natural Pesticide Research,Anonymous peer review,Yes,1900 USD,Yes,27730786
Technophany,Double anonymous peer review,No,NA,Yes,27730875
Theriogenology Wild,Anonymous peer review,Yes,1500 USD,Yes,2773093X
Plant Nano Biology,Anonymous peer review,Yes,2000 USD,Yes,27731111
Crop and Environment,Anonymous peer review,Yes,1750 USD,Yes,2773126X
Advances in Bamboo Science,Anonymous peer review,Yes,1200 USD,Yes,27731391
Green Energy and Intelligent Transportation,Double anonymous peer review,Yes,1950 USD,Yes,27731537
Advances in Biomedical and Health Sciences,Double anonymous peer review,No,NA,Yes,27731545
Advances in Biomedical and Health Sciences,Double anonymous peer review,No,NA,Yes,27731553
Journal of Orthopaedic Reports,Double anonymous peer review,Yes,600 USD,Yes,2773157X
Clinical Surgical Oncology,Anonymous peer review,Yes,2000 USD,Yes,2773160X
Docomomo Journal,Double anonymous peer review,Yes,500 EUR,Yes,27731634
Religie & Samenleving,"Editorial review, Peer review",No,NA,Yes,27731669
Circular Economy,Anonymous peer review,Yes,1400 USD,Yes,27731677
Circular Economy,Anonymous peer review,Yes,1400 USD,Yes,27731685
Nuclear Analysis,Anonymous peer review,Yes,700 USD,Yes,27731839
Franklin Open,Anonymous peer review,Yes,1900 USD,Yes,27731863
Franklin Open,Anonymous peer review,Yes,1900 USD,Yes,27731871
Hybrid Advances,Anonymous peer review,Yes,1500 USD,Yes,2773207X
Handelingen,Double anonymous peer review,No,NA,Yes,27732096
Pharmaceutical Science Advances,Anonymous peer review,Yes,2000 USD,Yes,27732169
Tetrahedron Green Chem,Anonymous peer review,Yes,1800 USD,Yes,27732231
Rock Mechanics Bulletin,Anonymous peer review,Yes,1200 USD,Yes,27732304
JEM Reports,Double anonymous peer review,Yes,700 USD,Yes,27732320
"Social and Emotional Learning: Research, Practice, and Policy",Double anonymous peer review,Yes,1700 USD,Yes,27732339
Advanced Agrochem,Anonymous peer review,Yes,1000 USD,Yes,27732371
Pratiques & Didactique,Anonymous peer review,No,NA,Yes,27732819
Advanced Research in Economics and Business Strategy Journal,Double anonymous peer review,No,NA,Yes,27733807
Journal of Innovative Applied Mathematics and Computational Sciences,Anonymous peer review,No,NA,Yes,27734196
ENP Engineering Science Journal,Anonymous peer review,No,NA,Yes,27734293
Rabbanica: Journal of Revealed Knowledge,Double anonymous peer review,Yes,150 MYR,Yes,27735583
Journal of Pharmacy,Double anonymous peer review,No,NA,Yes,27735664
Gajah,"Editorial review, Peer review",No,NA,Yes,27736989
Sociedad & Tecnología,Double anonymous peer review,No,NA,Yes,27737349
Revista Higía de la Salud,Double anonymous peer review,No,NA,Yes,27737705
Revista Científica de Ciencias Naturales y Ambientales,Double anonymous peer review,No,NA,Yes,27737772
Annapurna Journal of Health Sciences,"Editorial review, Double anonymous peer review",No,NA,Yes,27738019
Dharma,Double anonymous peer review,Yes,250000 IDR,Yes,27741672
Dharma,Double anonymous peer review,Yes,250000 IDR,Yes,27741680
Mushaf,Double anonymous peer review,No,NA,Yes,27741877
Mushaf,Double anonymous peer review,No,NA,Yes,27741885
Journey,Anonymous peer review,Yes,500000 IDR,Yes,27741923
Jurnal Dialektika Informatika,Double anonymous peer review,No,NA,Yes,27742148
Magna Medika,Double anonymous peer review,No,NA,Yes,27742318
Inspiree,Peer review,Yes,50 USD,Yes,27742520
Nusantara,Double anonymous peer review,Yes,350000 IDR,Yes,27743829
Among Makarti,Double anonymous peer review,Yes,650000 IDR,Yes,27745163
Pamomong,Double anonymous peer review,Yes,500000 IDR,Yes,2774583X
Jurnal Rekonstruksi dan Estetik,Double anonymous peer review,No,NA,Yes,27746062
Tadris Al-Arabiyat,Double anonymous peer review,Yes,150000 IDR,Yes,27746100
Al-Mashrof,Double anonymous peer review,Yes,100 USD,Yes,27747166
Nusantara,Double anonymous peer review,Yes,350000 IDR,Yes,27747689
An-Nahdah Al-'Arabiyah,Double anonymous peer review,No,NA,Yes,27747808
Diversity,Double anonymous peer review,No,NA,Yes,27749649
Journal of Basic Medical Veterinary,Double anonymous peer review,Yes,350000 IDR,Yes,27749959
Diversity,Double anonymous peer review,No,NA,Yes,27750035
Media,Double anonymous peer review,No,NA,Yes,27750116
Journal of Vocational Nursing,Double anonymous peer review,No,NA,Yes,27750280
Journal of Comparative Study of Religions,Double anonymous peer review,No,NA,Yes,27750760
Journal of English Teaching and Linguistics,Double anonymous peer review,No,NA,Yes,27751317
Kalijaga Journal of Communication,Double anonymous peer review,No,NA,Yes,27751414
Indonesian Community Development Journal,Double anonymous peer review,Yes,500000 IDR,Yes,27751538
Asian Management and Business Review,Double anonymous peer review,No,NA,Yes,2775202X
Jurnal Pengabdian Multidisiplin,Peer review,Yes,750000 IDR,Yes,27752097
Tebuireng,Peer review,No,NA,Yes,27752151
Riset Akuntansi,Double anonymous peer review,Yes,150000 IDR,Yes,27752267
Journal of Environmental and Science Education,Double anonymous peer review,No,NA,Yes,27752518
IBLAM Law Review,Double anonymous peer review,No,NA,Yes,27753174
Journal Coaching Education Sports,Double anonymous peer review,No,NA,Yes,27753808
IBLAM Law Review,Double anonymous peer review,No,NA,Yes,27754146
Indonesian Journal of Innovation and Applied Sciences,Double anonymous peer review,No,NA,Yes,27754162
Ascarya,Double anonymous peer review,Yes,1500000 IDR,Yes,27754243
Jurnal Neraca Peradaban,Peer review,Yes,350000 IDR,Yes,27754286
Jurnal Neraca Peradaban,Peer review,Yes,350000 IDR,Yes,27754294
"Women, Midwives and Midwifery",Double anonymous peer review,Yes,50 USD,Yes,27754448
Spiritual Healing,Peer review,No,NA,Yes,27754707
Journal of Innovation and Community Engagement,"Anonymous peer review, Double anonymous peer review",No,NA,Yes,27754847
Journal of Public Health and Pharmacy,Double anonymous peer review,Yes,5000000 IDR,Yes,27754952
"Interdisciplinary Journal on Law, Social Sciences and Humanities",Double anonymous peer review,No,NA,Yes,27755045
Indonesian Journal of Clinical Nutrition Physician,Double anonymous peer review,No,NA,Yes,27755215
"International Journal of Informatics, Information System and Computer Engineering",Anonymous peer review,No,NA,Yes,27755584
Journal Innovation of Civil Engineering,Double anonymous peer review,No,NA,Yes,27755592
Dawuh Guru,Double anonymous peer review,Yes,40 USD; 500000 IDR,Yes,27755789
Jurnal Manajemen dan Profesional,Double anonymous peer review,Yes,150000 IDR,Yes,27755967
Jurnal Akuntansi dan Audit Syariah,Double anonymous peer review,No,NA,Yes,27756270
Warkat,Double anonymous peer review,No,NA,Yes,27757218
Indonesian Journal of Physical Education and Sport Science,Double anonymous peer review,Yes,50 USD,Yes,2775765X
Ngarsa,Peer review,No,NA,Yes,2775782X
Indonesian Journal of Educational Research and Technology,Peer review,No,NA,Yes,27758419
Indonesian Journal of Educational Research and Technology,Peer review,No,NA,Yes,27758427
Jurnal Akuntansi dan Audit Syariah,Double anonymous peer review,No,NA,Yes,27758443
Negrei,Anonymous peer review,No,NA,Yes,27758621
Jurnal Diferensial,Anonymous peer review,No,NA,Yes,27759644
Jurnal Data Mining dan Sistem Informasi,Anonymous peer review,No,NA,Yes,27759660
Media Kedokteran Hewan,Double anonymous peer review,No,NA,Yes,2775975X
Ngarsa,Peer review,No,NA,Yes,27759776
Populika,Double anonymous peer review,Yes,350000 IDR,Yes,27759989
Indonesian Journal of Physical Education and Sport Science,Double anonymous peer review,Yes,50 USD,Yes,27760200
Journal of Innovation and Community Engagement,"Anonymous peer review, Double anonymous peer review",No,NA,Yes,27760421
Journal of Science and Technology Research for Pharmacy,Double anonymous peer review,No,NA,Yes,27760685
Journal of Integrated Elementary Education,Anonymous peer review,No,NA,Yes,27761657
Buletin Riset Psikologi dan Kesehatan Mental,Double anonymous peer review,No,NA,Yes,27761851
"Journal of Law, Society, and Islamic Civilization",Double anonymous peer review,No,NA,Yes,27762173
Nekton,Double anonymous peer review,Yes,400000 IDR,Yes,27762734
Nekton,Double anonymous peer review,Yes,400000 IDR,Yes,27762742
Jurnal Edunitro,Double anonymous peer review,No,NA,Yes,2776284X
Jurnal Edunitro,Double anonymous peer review,No,NA,Yes,27762920
JISA (Jurnal Informatika dan Sains),Anonymous peer review,Yes,300000 IDR,Yes,27763234
Religio Education,Anonymous peer review,No,NA,Yes,27763285
Religio Education,Anonymous peer review,No,NA,Yes,27763366
Jurnal Pengabdian dan Edukasi Sekolah,Anonymous peer review,Yes,500000 IDR,Yes,2776382X
Jurnal Pengabdian dan Edukasi Sekolah,Anonymous peer review,Yes,500000 IDR,Yes,27763838
Journal of Digital Learning and Education,Double anonymous peer review,No,NA,Yes,27764060
Invest Journal of Sharia & Economic Law,Double anonymous peer review,No,NA,Yes,27764354
Jurnal Japanedu: Pendidikan dan Pengajaran Bahasa Jepang,Anonymous peer review,No,NA,Yes,27764478
Indonesian Journal of Physical Activity,Double anonymous peer review,Yes,350000 IDR,Yes,27764516
Invest Journal of Sharia & Economic Law,Double anonymous peer review,No,NA,Yes,27764982
Tanwir Arabiyyah,Double anonymous peer review,No,NA,Yes,27766063
Tanwir Arabiyyah,Double anonymous peer review,No,NA,Yes,27766071
Indonesian Journal of Teaching in Science,Anonymous peer review,No,NA,Yes,27766101
Indonesian Journal of Teaching in Science,Anonymous peer review,No,NA,Yes,27766152
Andalasian International Journal of Agricultural and Natural Sciences,Double anonymous peer review,Yes,500000 IDR,Yes,27766500
Journal Physical Therapy UNISA,Double anonymous peer review,No,NA,Yes,27766969
Babali Nursing Research,Double anonymous peer review,Yes,50 USD,Yes,27766993
Jurnal Abdimas Prakasa Dakara,Anonymous peer review,Yes,300000 IDR,Yes,2776768X
Arsitekno,Anonymous peer review,No,NA,Yes,27767841
Politicos,Peer review,No,NA,Yes,27768023
Politicos,Peer review,No,NA,Yes,27768031
Journal of Comparative Study of Religions,Double anonymous peer review,No,NA,Yes,27768457
Indonesia Law Reform Journal,Double anonymous peer review,No,NA,Yes,27769259
Global Focus,Double anonymous peer review,No,NA,Yes,27769399
Indonesia Law Reform Journal,Double anonymous peer review,No,NA,Yes,27769674
Andalas Journal of Electrical and Electronic Engineering Technology,Double anonymous peer review,Yes,700000 IDR,Yes,27770079
ARSNET,Double anonymous peer review,No,NA,Yes,27770702
ARSNET,Double anonymous peer review,No,NA,Yes,27770710
Sinergi Polmed,"Editorial review, Anonymous peer review",Yes,350000 IDR,Yes,27771202
Open Journal of Mathematical Optimization,Anonymous peer review,No,NA,Yes,27775860
Médecine Tropicale et Santé Internationale (MTSI),Anonymous peer review,No,NA,Yes,27782034
"Images du Travail, Travail des Images",Double anonymous peer review,No,NA,Yes,27788628
Iris,Double anonymous peer review,No,NA,Yes,27792005
Imaginaires,Double anonymous peer review,No,NA,Yes,27801896
Revue d’Histoire Culturelle,Double anonymous peer review,No,NA,Yes,27804143
Photographica,Peer review,No,NA,Yes,27808572
"Вестник медицинского института «Реавиз»: Реабилитация, врач и здоровье",Double anonymous peer review,No,NA,Yes,27821579
Российский сейсмологический журнал,Anonymous peer review,No,NA,Yes,27821609
Пенитенциарная наука,Double anonymous peer review,No,NA,Yes,27821986
Минералогия,Anonymous peer review,No,NA,Yes,27822044
Амбулаторная хирургия,Anonymous peer review,No,NA,Yes,27822591
"Современные инновации, системы и технологии",Double anonymous peer review,No,NA,Yes,27822818
"Современные инновации, системы и технологии",Double anonymous peer review,No,NA,Yes,27822826
Уфимский археологический вестник,Double anonymous peer review,No,NA,Yes,27822842
Russian Journal of Economics and Law,Double anonymous peer review,No,NA,Yes,27822923
Физика волновых процессов и радиотехнические системы,Double anonymous peer review,No,NA,Yes,2782294X
Российский технологический журнал,Double anonymous peer review,No,NA,Yes,27823210
Дифференциальная геометрия многообразий фигур,Double anonymous peer review,No,NA,Yes,27823229
Наука Красноярья,Double anonymous peer review,Yes,80 USD,Yes,27823261
Nomadic Civilization: Historical Research,Double anonymous peer review,No,NA,Yes,27823377
Russian Journal of Education and Psychology,Double anonymous peer review,Yes,80 USD,Yes,27823563
Проблемы музыкальной науки,Double anonymous peer review,Yes,70500 RUB,Yes,2782358X
Проблемы музыкальной науки,Double anonymous peer review,Yes,70500 RUB,Yes,27823598
Реальная клиническая практика: данные и доказательства,Double anonymous peer review,No,NA,Yes,27823784
iPolytech Journal,Double anonymous peer review,No,NA,Yes,27824004
Frontier Materials & Technologies,Anonymous peer review,No,NA,Yes,27824039
Славянский альманах,Double anonymous peer review,No,NA,Yes,27824411
Современное дошкольное образование,Double anonymous peer review,No,NA,Yes,27824519
Физическое воспитание и студенческий спорт,Double anonymous peer review,No,NA,Yes,27824594
Физическое воспитание и студенческий спорт,Double anonymous peer review,No,NA,Yes,27824608
Виртуальная коммуникация и социальные сети,Double anonymous peer review,No,NA,Yes,27824799
Виртуальная коммуникация и социальные сети,Double anonymous peer review,No,NA,Yes,27824802
Цифровые модели и решения,Double anonymous peer review,No,NA,Yes,27824934
Информатика. Экономика. Управление,Double anonymous peer review,No,NA,Yes,27825280
Теоретическая и экспериментальная психология,Double anonymous peer review,No,NA,Yes,27825396
Руды и металлы,Double anonymous peer review,No,NA,Yes,2782554X
π-Economy,Double anonymous peer review,No,NA,Yes,27826015
Frontier Materials & Technologies,Anonymous peer review,No,NA,Yes,27826074
Sustainable Development and Engineering Economics,Double anonymous peer review,No,NA,Yes,27826333
iPolytech Journal,Double anonymous peer review,No,NA,Yes,27826341
Исследование проблем экономики и финансов,Double anonymous peer review,No,NA,Yes,27826414
Историко-географический журнал,Double anonymous peer review,No,NA,Yes,27826511
Вестник Екатеринбургской духовной семинарии,Double anonymous peer review,No,NA,Yes,27827496
"Tasambo Journal of Language, Literature, and Culture",Double anonymous peer review,Yes,27000 NGN; 60 USD,Yes,27828182
International Review of Social Sciences Research,Double anonymous peer review,Yes,50 USD; 2300 PHP,Yes,27829227
International Review of Social Sciences Research,Double anonymous peer review,Yes,50 USD; 2300 PHP,Yes,27829235
"Journal of Education, Management and Development Studies",Double anonymous peer review,Yes,50 USD,Yes,27829413
IMCC Journal of Science,Double anonymous peer review,No,NA,Yes,27830357
IMCC Journal of Science,Double anonymous peer review,No,NA,Yes,27830365
Journal of Finsler Geometry and its Applications,Anonymous peer review,No,NA,Yes,27830500
Mathematics and Modeling in Finance,Double anonymous peer review,Yes,6000000 IRR,Yes,2783056X
Mathematics and Modeling in Finance,Double anonymous peer review,Yes,6000000 IRR,Yes,27830578
خانواده و پژوهش,Double anonymous peer review,No,NA,Yes,27830586
مطالعات منابع انسانی,Double anonymous peer review,Yes,5000000 IRR,Yes,27830624
مهندسی مکانیک دانشگاه تبریز,Double anonymous peer review,Yes,3500000 IRR,Yes,27830772
مطالعات فقه اسلامی و مبانی حقوق,Double anonymous peer review,Yes,10000000 IRR,Yes,27830837
Journal of Theoretical and Applied Vibration and Acoustics,Double anonymous peer review,No,NA,Yes,27830888
بهبود مدیریت,Double anonymous peer review,No,NA,Yes,2783090X
فیزیک کاربردی ایران,Double anonymous peer review,Yes,3000000 IRR,Yes,27831043
فیزیک کاربردی ایران,Double anonymous peer review,Yes,3000000 IRR,Yes,27831051
Archives of Advances in Biosciences,Double anonymous peer review,No,NA,Yes,27831264
International Journal of Research in Industrial Engineering,Double anonymous peer review,No,NA,Yes,27831337
مدیریت نوآوری و راهبردهای عملیاتی,Double anonymous peer review,No,NA,Yes,27831345
آرمان پردازش,Double anonymous peer review,Yes,4500000 IRR,Yes,27831361
پژوهش‌های زیرساخت‌های عمرانی,Double anonymous peer review,Yes,6000000 IRR,Yes,2783140X
اقتصاد باثبات و توسعه پایدار,Double anonymous peer review,No,NA,Yes,27831426
Journal of Fuzzy Extension and Applications,Double anonymous peer review,No,NA,Yes,27831442
Journal of Advanced Biomedical Sciences,Double anonymous peer review,No,NA,Yes,27831523
Research in Sport Management and Marketing,Double anonymous peer review,No,NA,Yes,27831671
Anthropogenic Pollution,Double anonymous peer review,No,NA,Yes,27831736
اپتوالکترونیک,Double anonymous peer review,Yes,6000000 IRR,Yes,27831752
فناوری‌های جدید در صنعت غذا,Peer review,No,NA,Yes,27831760
بازیابی دانش و نظام‌های معنایی,Double anonymous peer review,Yes,6000000 IRR,Yes,27831795
مهندسی عمران فردوسی,Peer review,Yes,2000000 IRR,Yes,2783199X
مجله پزشکی دانشگاه علوم پزشکی تبریز,Double anonymous peer review,No,NA,Yes,27832031
مجله پزشکی دانشگاه علوم پزشکی تبریز,Double anonymous peer review,No,NA,Yes,2783204X
Journal of Exercise & Organ Cross Talk,Double anonymous peer review,No,NA,Yes,27832074
Journal of Social Behavior and Community Health,Double anonymous peer review,No,NA,Yes,27832104
نامه آموزش عالی,Double anonymous peer review,No,NA,Yes,27832139
پژوهش در آموزش معارف و تربیت اسلامی,Double anonymous peer review,No,NA,Yes,27832147
پژوهش در آموزش معارف و تربیت اسلامی,Double anonymous peer review,No,NA,Yes,27832252
AUT Journal of Mathematics and Computing,Anonymous peer review,No,NA,Yes,27832287
بررسی مسائل اقتصاد ایران,Double anonymous peer review,Yes,3000000 IRR,Yes,27832317
پژوهش در نظام‌های آموزشی,Double anonymous peer review,Yes,15000000 IRR,Yes,27832341
مطالعات فقه اسلامی و مبانی حقوق,Double anonymous peer review,Yes,10000000 IRR,Yes,27832368
Research in Sport Management and Marketing,Double anonymous peer review,No,NA,Yes,27832392
Iranian Journal of Colorectal Research,Double anonymous peer review,No,NA,Yes,27832430
AUT Journal of Mathematics and Computing,Anonymous peer review,No,NA,Yes,27832449
Computational Sciences and Engineering,Anonymous peer review,No,NA,Yes,27832503
مجله مدل سازی در مهندسی,Anonymous peer review,Yes,6000000 IRR,Yes,27832538
مدل‌سازی و مدیریت آب و خاک,Double anonymous peer review,No,NA,Yes,27832546
اپتوالکترونیک,Double anonymous peer review,Yes,6000000 IRR,Yes,27832562
ImmunoAnalysis,Double anonymous peer review,No,NA,Yes,27832589
پیشرفت‌های مالی و سرمایه گذاری,Double anonymous peer review,Yes,5000000 IRR,Yes,27832600
مطالعات بین‌رشته‌ای ادبیات، هنر و علوم انسانی,Double anonymous peer review,Yes,4500000 IRR,Yes,27832759
مهندسی عمران فردوسی,Peer review,Yes,2000000 IRR,Yes,27832805
Journal of Applied Research in Electrical Engineering,Anonymous peer review,No,NA,Yes,27832864
Agrotechniques in Industrial Crops,Double anonymous peer review,No,NA,Yes,27832945
"New Applied Studies in Management, Economics & Accounting",Double anonymous peer review,Yes,50 USD; 7000000 IRR,Yes,27833119
Journal of Current Oncology and Medical Sciences,Double anonymous peer review,No,NA,Yes,27833127
فصلنامه زن و جامعه,Double anonymous peer review,Yes,5000000 IRR,Yes,27833194
نظریه‌های اجتماعی متفکران مسلمان,"Anonymous peer review, Double anonymous peer review",Yes,4000000 IRR,Yes,27833216
قرآن فرهنگ و تمدن,Double anonymous peer review,Yes,9000000 IRR,Yes,27833356
مطالعات فرهنگی پلیس,Double anonymous peer review,No,NA,Yes,27833372
مطالعات فرهنگی پلیس,Double anonymous peer review,No,NA,Yes,27833380
Journal of Nuclear Research and Applications,Double anonymous peer review,No,NA,Yes,27833402
فناوری‌های جدید در صنعت غذا,Peer review,No,NA,Yes,2783350X
Journal of Holography Applications in Physics,Peer review,No,NA,Yes,27833518
علوم و صنایع غذایی ایران,Double anonymous peer review,Yes,5000000 IRR,Yes,27833534
آموزه‌‌های فقه مدني,Double anonymous peer review,Yes,8000000 IRR,Yes,27833690
International Journal of Innovation in Marketing Elements,Double anonymous peer review,Yes,150 EUR; 5000000 IRR,Yes,2783378X
گردشگری و اوقات فراغت,"Editorial review, Peer review, Double anonymous peer review",No,NA,Yes,27833828
حقوق فناوریهای نوین,Double anonymous peer review,No,NA,Yes,27833836
"International Journal of Tourism, Culture and Spirituality",Double anonymous peer review,No,NA,Yes,27833844
